Filler,OldRule,NewRule,Targets,Title,Text
x,3-1,3-2,WF-IEPD,IEPD is well-formed,An IEPD MUST have an IEPD conformance target identifier of http://reference.niem.gov/niem/specification/iepd/5.0/#WF-IEPD.
x,3-3,3-1,IEPD,IEPD conformance target identifier,An IEPD MUST have an IEPD conformance target identifier of http://reference.niem.gov/niem/specification/iepd/5.0/#IEPD as a value of its c:iepdConformanceTargetIdentifierURIList attribute.
x,5-10,5-9,WF-IEPD,IEPD Version Number Syntax,"An IEPD MUST be assigned a version number that adheres to the regular expression:The meaning of the status values are as follows: 
- alpha indicates early development; changing significantly. 
- beta indicates late development; but changing or incomplete. 
- rc indicates release candidate; complete but not approved as operational. 
- rev indicates very minor revision that does not impact schema validation."
x,5-11,5-10,WF-IEPD,IEPD URI Is Absolute,"In an IEPD catalog document, the value of a c:iepdURI attribute of type xs:anyURI MUST match the production <absolute-URI> as defined by [RFC 3986 URI], §4.3, Absolute URI."
x,5-12,5-11,WF-IEPD,IEPD URI Supports Fragment,A valid IEPD URI MUST support the inclusion of a fragment identifier (as a suffix) [RFC 3986 URI].
x,5-13,5-12,WF-IEPD,IEPD URI Has No Fragment,A valid IEPD URI MUST NOT contain a fragment identifier [RFC 3986 URI].
x,5-14,5-13,WF-IEPD,IEPD Artifact URI Syntax,"Within an IEPD a URI reference to an artifact in another external IEPD (i.e., an IEPD artifact URI) is the concatenation of: 
- The URI of the IEPD that contains the artifact. 
- A pound-sign character (""#"" — also known as a hashtag character). 
- An identifier that is the artifact’s locally unique path name relative to the IEPD root directory."
x,5-15,5-14,WF-IEPD,c:pathURI Resolves to a Resource,"Within an IEPD catalog document, the value of a c:pathURI attribute MUST resolve to a resource."
x,5-16,5-15,WF-IEPD,c:pathURI for c:XMLCatalog,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:XMLCatalog element MUST resolve to an XML catalog document."
x,5-17,5-16,WF-IEPD,c:pathURI for c:IEPDChangeLog,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:IEPDChangeLog element MUST resolve to a change log."
x,5-18,5-17,WF-IEPD,c:pathURI for c:ReadMe,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:ReadMe element MUST resolve to a readme artifact."
x,5-19,5-18,WF-IEPD,c:pathURI for c:IEPSampleXMLDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:IEPSampleXMLDocument element MUST resolve to an XML document."
x,5-20,5-19,WF-IEPD,c:pathURI for c:BusinessRulesArtifact,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:BusinessRulesArtifact element MUST resolve to a business rule schema or business rules artifact."
x,5-21,5-20,WF-IEPD,c:pathURI for c:XMLSchemaDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:XMLSchemaDocument element MUST resolve to an XML schema document."
x,5-22,5-21,WF-IEPD,c:pathURI for c:ExternalSchemaDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:ExternalSchemaDocument element MUST resolve to an XML schema document."
x,5-23,5-22,WF-IEPD,c:pathURI for c:ReferenceSchemaDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:ReferenceSchemaDocument element MUST resolve to a NIEM reference schema document."
x,5-24,5-23,WF-IEPD,c:pathURI for c:ExtensionSchemaDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:ExtensionSchemaDocument element MUST resolve to a NIEM extension schema document."
x,5-25,5-24,WF-IEPD,c:pathURI for c:SubsetSchemaDocument,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:SubsetSchemaDocument element MUST resolve to a NIEM subset schema document."
x,5-26,5-25,WF-IEPD,c:pathURI for c:Wantlist,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:Wantlist element MUST resolve to a NIEM wantlist XML document."
x,5-27,5-26,WF-IEPD,c:pathURI for c:SchematronSchema,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:SchematronSchema element MUST resolve to a Schematron schema."
x,5-28,5-27,WF-IEPD,c:pathURI for c:RelaxNGSchema,"Within an IEPD catalog document, the value of a c:pathURI attribute owned by a c:RelaxNGSchema element MUST resolve to a RelaxNG schema."
