NS,Property Count,Type Count,Code Count
aamva_d20,,92,743
ag_codes,,62,79
apco,,8,206
atf,,8,98
bls,5,10,1455
can,3,6,174
cbrncl,,131,2435
commodity,5,10,614
dea,3,6,553
edxl_rm,,4,24
fips,3,6,9711
genc,4,8,6063
have-codes,,24,43
hazmat,1,2,2458
hl7,1,2,82
iso_3166,4,8,5698
iso_4217,1,2,179
iso_639-3,1,2,7867
itcodes,,44,2219
jc3iedm,2,4,364
jp2-0,1,2,11
jp3-52,3,5,117
mmucc,,146,700
nces,1,2,50
ncic,,152,31781
ndex,,176,3643
nga,1,4,50
nlets,,6,20
occs,5,10,1495
opm,1,2,22
sar,,8,76
ucr,,44,422
unece,7,14,226
usda_fsa,,4,347
usps,3,6,276
xCard,1,2,9
