"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"2.0","group",1,"Core","","","",,"1,478","212","21"
"2.0","namespace",1,"Core","nc","NIEM Core","http://niem.gov/niem/niem-core/2.0","http://release.niem.gov/niem/niem-core/2.0/niem-core.xsd","1,478","212","21"
"2.0","group",2,"Domain","","","",,"2,499","672","4,292"
"2.0","namespace",2,"Domain","em","Emergency Management","http://niem.gov/niem/domains/emergencyManagement/2.0","http://release.niem.gov/niem/domains/emergencyManagement/2.0/emergencyManagement.xsd","169","37","10"
"2.0","namespace",2,"Domain","geo","Geospatial","http://niem.gov/niem/geospatial/2.0","http://release.niem.gov/niem/geospatial/2.0/geospatial.xsd","74","66",""
"2.0","namespace",2,"Domain","im","Immigration","http://niem.gov/niem/domains/immigration/2.0","http://release.niem.gov/niem/domains/immigration/2.0/immigration.xsd","325","68","186"
"2.0","namespace",2,"Domain","intel","Intelligence","http://niem.gov/niem/domains/intelligence/2.0","http://release.niem.gov/niem/domains/intelligence/2.0/intelligence.xsd","72","22",""
"2.0","namespace",2,"Domain","ip","Infrastructure Protection","http://niem.gov/niem/domains/infrastructureProtection/2.0","http://release.niem.gov/niem/domains/infrastructureProtection/2.0/infrastructureProtection.xsd","22","8",""
"2.0","namespace",2,"Domain","it","International Trade","http://niem.gov/niem/domains/internationalTrade/2.0","http://release.niem.gov/niem/domains/internationalTrade/2.0/internationalTrade.xsd","114","16",""
"2.0","namespace",2,"Domain","j","Justice","http://niem.gov/niem/domains/jxdm/4.0","http://release.niem.gov/niem/domains/jxdm/4.0/jxdm.xsd","1,236","158","31"
"2.0","namespace",2,"Domain","scr","Screening","http://niem.gov/niem/domains/screening/2.0","http://release.niem.gov/niem/domains/screening/2.0/screening.xsd","487","297","4,065"
"2.0","group",3,"Adapter","","","",,"2","2",""
"2.0","namespace",3,"Adapter","edxl-cap","EDXL Common Alerting Protocol","http://niem.gov/niem/edxl-cap/2.0","http://release.niem.gov/niem/edxl-cap/2.0/edxl-cap.xsd","1","1",""
"2.0","namespace",3,"Adapter","edxl-de","EDXL Distribution Element","http://niem.gov/niem/edxl-de/2.0","http://release.niem.gov/niem/edxl-de/2.0/edxl-de.xsd","1","1",""
