"Group","Class","NamespacePrefix","NamespaceName","1_0","2_0","2_1","3_0","3_1","3_2","4_0","4_1","4_2","5_0","5_1","5_2"
"Core","group","","","35","21","21","33","33","33","185","185","185","101","101","101"
"Core","namespace","c","NIEM Common Core","20","","","","","","","","","","",""
"Core","namespace","nc","NIEM Core","","21","21","33","33","33","185","185","185","101","101","101"
"Core","namespace","u","NIEM Universal Core","15","","","","","","","","","","",""
"Domain","group","","","4,104","4,292","7,344","6,856","7,306","7,755","8,566","9,393","9,436","9,590","11,096","33,427"
"Domain","namespace","ag","Agriculture","","","","","","","","","","","",""
"Domain","namespace","biom","Biometrics","","","","572","941","1,009","1,389","1,328","1,327","1,327","1,409","1,406"
"Domain","namespace","cbrn","Chemical, Biological, Radiological, and Nuclear","","","","","","","","","","","",""
"Domain","namespace","cyber","Cyber","","","","","","","","","","","260","1,094"
"Domain","namespace","cyfs","Children, Youth, and Family Services","","","","675","697","697","","","","","",""
"Domain","namespace","em","Emergency Management","10","10","70","70","70","317","629","1,198","1,234","1,240","1,240","1,240"
"Domain","namespace","fs","Family Services","","","400","","","","","","","","",""
"Domain","namespace","hs","Human Services","","","","","15","86","785","1,048","1,048","1,048","1,048","1,048"
"Domain","namespace","im","Immigration","186","186","481","1,388","1,388","1,388","1,388","1,388","1,388","1,388","1,388","1,388"
"Domain","namespace","intel","Intelligence","","","","","","","","","","","",""
"Domain","namespace","ip","Infrastructure Protection","","","3","3","3","3","3","3","3","3","3","3"
"Domain","namespace","it","International Trade","","","2,236","","","","","","","","",""
"Domain","namespace","j","Justice","","31","49","193","193","193","193","209","217","361","361","361"
"Domain","namespace","lrn-dev","Learning and Development","","","","","","","","","","","","8"
"Domain","namespace","m","Maritime","","","132","180","180","180","180","180","180","180","180","180"
"Domain","namespace","mo","Military Operations","","","","44","88","88","90","130","130","134","1,298","1,305"
"Domain","namespace","scr","Screening","3,908","4,065","3,973","3,731","3,731","3,731","3,731","3,731","3,731","3,731","3,731","3,731"
"Domain","namespace","st","Surface Transportation","","","","","","63","178","178","178","178","178","178"
"Domain","namespace","usmtf","United States Message Text Format","","","","","","","","","","","","21,485"
"Adapter","group","","","","","","","","","","","","","",""
"Adapter","namespace","edxl-cap","EDXL Common Alerting Protocol","","","","","","","","","","","",""
"Adapter","namespace","edxl-de","EDXL Distribution Element","","","","","","","","","","","",""
"Adapter","namespace","edxl-have","EDXL Hospital Availability Exchange","","","","","","","","","","","",""
