"Group","Class","NamespacePrefix","NamespaceName","1_0","2_0","2_1","3_0","3_1","3_2","4_0","4_1","4_2","5_0","5_1"
"Core","group","","","1,540","1,478","1,478","1,423","1,423","1,423","1,586","1,586","1,586","1,810","1,810"
"Core","namespace","c","NIEM Common Core","1,204","","","","","","","","","",""
"Core","namespace","u","NIEM Universal Core","336","","","","","","","","","",""
"Core","namespace","nc","NIEM Core","","1,478","1,478","1,423","1,423","1,423","1,586","1,586","1,586","1,810","1,810"
"Domain","group","","","2,550","2,499","4,231","6,794","7,274","9,053","9,486","9,727","9,919","9,743","10,467"
"Domain","namespace","ag","Agriculture","","","","","","","64","64","64","64","64"
"Domain","namespace","biom","Biometrics","","","","240","617","707","1,018","1,014","1,012","1,008","1,094"
"Domain","namespace","cbrn","Chemical, Biological, Radiological, and Nuclear","","","451","630","608","608","608","608","608","592","592"
"Domain","namespace","cyber","Cyber","","","","","","","","","","","268"
"Domain","namespace","cyfs","Children, Youth, and Family Services","","","","609","609","609","","","","",""
"Domain","namespace","em","Emergency Management","176","169","261","295","295","548","670","687","822","918","950"
"Domain","namespace","fs","Family Services","","","213","","","","","","","",""
"Domain","namespace","geo","Geospatial","","74","15","7","7","7","","","","",""
"Domain","namespace","hs","Human Services","","","","","53","82","684","812","812","806","806"
"Domain","namespace","im","Immigration","343","325","343","464","464","464","457","457","457","445","445"
"Domain","namespace","intel","Intelligence","82","72","77","72","72","72","66","66","66","56","56"
"Domain","namespace","ip","Infrastructure Protection","23","22","25","31","31","31","31","31","31","31","31"
"Domain","namespace","it","International Trade","119","114","451","540","538","538","534","534","534","530","530"
"Domain","namespace","j","Justice","1,300","1,236","1,386","2,828","2,832","4,173","4,140","4,147","4,206","4,023","3,953"
"Domain","namespace","m","Maritime","","","438","359","359","359","339","339","339","333","333"
"Domain","namespace","mo","Military Operations","","","","120","190","217","213","306","306","296","704"
"Domain","namespace","scr","Screening","507","487","571","599","599","599","599","599","599","577","577"
"Domain","namespace","st","Surface Transportation","","","","","","39","63","63","63","64","64"
"Adapter","group","","","76","2","3","3","3","3","10","10","10","14","14"
"Adapter","namespace","edxl-cap","EDXL Common Alerting Protocol","1","1","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","edxl-de","EDXL Distribution Element","1","1","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","edxl-have","EDXL Hospital Availability Exchange","","","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","geo","Geospatial","","","","","","","7","7","7","11","11"
"Adapter","namespace","gs","Geospatial","74","","","","","","","","","",""
"Auxiliary","group","","","","","","","","","","","","540","543"
"Auxiliary","namespace","cui","Controlled Unclassified Information metadata","","","","","","","","","","20","23"
"Auxiliary","namespace","stat","Statistics","","","","","","","","","","520","520"
"Code Set","group","","","19","253","253","4","5","5","5","5","5","56","142"
"Code Set","namespace","aamva_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","","","","","","","","","","",""
"Code Set","namespace","ag_codes","Agriculture domain codes","","","","","","","","","","",""
"Code Set","namespace","ansi_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","","","","","","","","","","",""
"Code Set","namespace","ansi-nist","ANSI NIST fingerprint and biometrics","","253","253","","","","","","","",""
"Code Set","namespace","apco","Association of Public-Safety Communications Officials (APCO) codes","","","","","","","","","","",""
"Code Set","namespace","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes","","","","","","","","","","",""
"Code Set","namespace","bls","US Bureau of Labor Statistics (BLS) codes","","","","","","","","","","5","5"
"Code Set","namespace","can","Canada Post codes","","","","","","","","","","3","3"
"Code Set","namespace","cbrncl","CBRN domain codes","","","","","","","","","","",""
"Code Set","namespace","census","US Census Bureau county codes","","","","","","","","","","",""
"Code Set","namespace","census","US Census Bureau employment codes","","","","","","","","","","",""
"Code Set","namespace","cjis","FBI Criminal Justice Information System (CJIS) codes","","","","","","","","","","",""
"Code Set","namespace","commodity","Standard Classification of Transported Goods (SCTG) Commodity Codes","","","","","","","","","","5","5"
"Code Set","namespace","core_misc","Non-authoritative codes","","","","","","","","","","",""
"Code Set","namespace","dea","Drug Enforcement Administration (DEA) Controlled Substances codes","","","","","","","","","","3","3"
"Code Set","namespace","dod","Department of Defense (DoD) security level codes","","","","","","","","","","",""
"Code Set","namespace","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","","","","","","","","","","",""
"Code Set","namespace","dol","Standard Occupational Classification (SOC) occupation codes","","","","","","","","","","",""
"Code Set","namespace","edxl","Emergency Data Exchange Language","","","","","","","","","","",""
"Code Set","namespace","edxl_rm","Emergency Data Exchange Language (EDXL) Resource Messaging codes","","","","","","","","","","",""
"Code Set","namespace","eo-12958","Presidential Executive Order 12958 security classification codes","","","","","","","","","","",""
"Code Set","namespace","fbi","FBI NCIC, NIBRS, and N-DEx codes","","","","","","","","","","",""
"Code Set","namespace","fema","Federal Emergency Management Agency (FEMA) codes","","","","","","","","","","",""
"Code Set","namespace","fips","Federal Information Processing System (FIPS) state and county codes","","","","","","","","","","3","3"
"Code Set","namespace","fips_10-4","Federal Information Processing Standards (FIPS) 10-4 country and international state codes","","","","","","","","","","",""
"Code Set","namespace","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","","","","","","","","","","",""
"Code Set","namespace","fips_6-4","Federal Information Processing Standards (FIPS) 6-4 US county codes","","","","","","","","","","",""
"Code Set","namespace","genc","Geopolitical Entities, Names, and Codes (GENC) codes","","","","","","","","","","4","4"
"Code Set","namespace","have","EDXL Hospital AVailability Exchange (HAVE)","","","","","","","","","","",""
"Code Set","namespace","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes","","","","","","","","","","",""
"Code Set","namespace","hazmat","DOT Hazardous Materials (HAZMAT) codes","","","","","","","","","","1","1"
"Code Set","namespace","hl7","Health Level Seven (HL-7) religion codes","","","","","","","","","","1","1"
"Code Set","namespace","ism","Intelligence Community Information Security Marking (IC-ISM) codes","19","","","","","","","","","",""
"Code Set","namespace","iso_3166","ISO 3166 country and subdivision codes","","","","","","","","","","4","4"
"Code Set","namespace","iso_4217","ISO 4217 currency codes","","","","","","","","","","1","1"
"Code Set","namespace","iso_639-2b","ISO 639-3 language codes","","","","","","","","","","",""
"Code Set","namespace","iso_639-2t","ISO 639-3 language codes","","","","","","","","","","",""
"Code Set","namespace","iso_639-3","ISO 639-3 language codes","","","","","","","","","","1","1"
"Code Set","namespace","itcodes","International Trade domain codes","","","","","","","","","","",""
"Code Set","namespace","itis","Integrated Transportation Information System (ITIS) codes","","","","","","","","","","",""
"Code Set","namespace","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes","","","","1","2","2","2","2","2","2","2"
"Code Set","namespace","jp2-0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","","","","","","","","","","1","1"
"Code Set","namespace","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes","","","","3","3","3","3","3","3","3","3"
"Code Set","namespace","lasd","Los Angeles Sheriffs Department (LASD) codes","","","","","","","","","","",""
"Code Set","namespace","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes","","","","","","","","","","",""
"Code Set","namespace","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","","","","","","","","","","",""
"Code Set","namespace","mn_off","Minnesota statute and offense codes","","","","","","","","","","",""
"Code Set","namespace","nces","National Center for Education Statistics (NCES) codes","","","","","","","","","","1","1"
"Code Set","namespace","ncic","FBI National Crime and Information Center (NCIC) codes","","","","","","","","","","","86"
"Code Set","namespace","ndex","FBI National Data Exchange (N-DEx) Specification codes","","","","","","","","","","",""
"Code Set","namespace","nga","National Geospatial Agency (NGA) codes","","","","","","","","","","1","1"
"Code Set","namespace","nibrs","FBI National Incident-Based Reporting System (NIBRS) codes","","","","","","","","","","",""
"Code Set","namespace","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","","","","","","","","","","",""
"Code Set","namespace","nonauth","Non-authoritative codes","","","","","","","","","","",""
"Code Set","namespace","occs","OMNI Class Building Codes","","","","","","","","","","5","5"
"Code Set","namespace","opm","US Office of Personnel Management (OPM) codes","","","","","","","","","","1","1"
"Code Set","namespace","sar","Suspicious Activity Reporting (SAR) codes","","","","","","","","","","",""
"Code Set","namespace","stix","Structured Threat Information Expression (STIX) codes","","","","","","","","","","",""
"Code Set","namespace","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","","","","","","","","","","",""
"Code Set","namespace","ucr","FBI Uniform Crime Reporting (UCR) codes","","","","","","","","","","",""
"Code Set","namespace","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","","","","","","","","","","7","7"
"Code Set","namespace","usda_fsa","United Stated Department of Agriculture (USDA) Farm Service Agency (FSA) codes","","","","","","","","","","",""
"Code Set","namespace","usps","U.S. Postal Service (USPS) codes","","","","","","","","","","3","3"
"Code Set","namespace","ut_offender","Utah Offender Tracking Database codes","","","","","","","","","","",""
"Code Set","namespace","xCard","vCard XML representation codes","","","","","","","","","","1","1"
"Code Set","namespace","xml","XML","","","","","","","","","","",""
"Total","total","","","4,185","4,232","5,965","8,224","8,705","10,484","11,087","11,328","11,520","12,163","12,976"
