"Group","Class","NamespacePrefix","NamespaceName","1_0","2_0","2_1","3_0","3_1","3_2","4_0","4_1","4_2","5_0","5_1"
"Core","group","","","195","212","212","203","203","203","269","269","269","282","282"
"Core","namespace","c","NIEM Common Core","135","","","","","","","","","",""
"Core","namespace","u","NIEM Universal Core","60","","","","","","","","","",""
"Core","namespace","nc","NIEM Core","","212","212","203","203","203","269","269","269","282","282"
"Domain","group","","","633","672","1,186","1,483","1,708","2,045","2,341","2,501","2,552","2,551","2,856"
"Domain","namespace","ag","Agriculture","","","","","","","8","8","8","8","8"
"Domain","namespace","biom","Biometrics","","","","142","313","361","530","590","591","590","630"
"Domain","namespace","cbrn","Chemical, Biological, Radiological, and Nuclear","","","120","147","147","147","147","147","147","137","137"
"Domain","namespace","cyber","Cyber","","","","","","","","","","","119"
"Domain","namespace","cyfs","Children, Youth, and Family Services","","","","185","185","185","","","","",""
"Domain","namespace","em","Emergency Management","42","37","75","69","69","173","278","287","333","365","366"
"Domain","namespace","fs","Family Services","","","102","","","","","","","",""
"Domain","namespace","geo","Geospatial","","66","15","13","13","13","","","","",""
"Domain","namespace","hs","Human Services","","","","","19","41","224","276","276","275","275"
"Domain","namespace","im","Immigration","75","68","89","97","97","97","95","95","95","94","94"
"Domain","namespace","intel","Intelligence","29","22","29","19","19","19","17","17","17","14","14"
"Domain","namespace","ip","Infrastructure Protection","9","8","8","8","8","8","8","8","8","8","8"
"Domain","namespace","it","International Trade","20","16","160","91","91","91","91","91","91","90","90"
"Domain","namespace","j","Justice","136","158","215","361","365","500","496","498","502","489","489"
"Domain","namespace","m","Maritime","","","57","48","48","48","47","47","47","47","47"
"Domain","namespace","mo","Military Operations","","","","48","79","85","95","132","132","130","275"
"Domain","namespace","scr","Screening","322","297","316","255","255","255","255","255","255","253","253"
"Domain","namespace","st","Surface Transportation","","","","","","22","50","50","50","51","51"
"Adapter","group","","","68","2","3","3","3","3","16","16","16","16","16"
"Adapter","namespace","edxl-cap","EDXL Common Alerting Protocol","1","1","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","edxl-de","EDXL Distribution Element","1","1","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","edxl-have","EDXL Hospital Availability Exchange","","","1","1","1","1","1","1","1","1","1"
"Adapter","namespace","geo","Geospatial","","","","","","","13","13","13","13","13"
"Adapter","namespace","gs","Geospatial","66","","","","","","","","","",""
"Auxiliary","group","","","","","","","","","","","","145","148"
"Auxiliary","namespace","cui","Controlled Unclassified Information metadata","","","","","","","","","","12","15"
"Auxiliary","namespace","stat","Statistics","","","","","","","","","","133","133"
"Code Set","group","","","524","677","835","992","978","954","1,084","1,084","1,098","1,022","1,068"
"Code Set","namespace","aamva_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","","","","","","84","84","84","84","92","92"
"Code Set","namespace","ag_codes","Agriculture domain codes","","","","","","","62","62","62","62","62"
"Code Set","namespace","ansi_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","72","70","70","80","84","","","","","",""
"Code Set","namespace","ansi-nist","ANSI NIST fingerprint and biometrics","","137","137","","","","","","","",""
"Code Set","namespace","apco","Association of Public-Safety Communications Officials (APCO) codes","6","6","6","8","8","8","8","8","8","8","8"
"Code Set","namespace","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes","","8","8","8","8","8","8","8","8","8","8"
"Code Set","namespace","bls","US Bureau of Labor Statistics (BLS) codes","","","","","","","","","","10","10"
"Code Set","namespace","can","Canada Post codes","2","2","2","2","2","2","2","2","2","6","6"
"Code Set","namespace","cbrncl","CBRN domain codes","","","158","131","131","131","131","131","131","131","131"
"Code Set","namespace","census","US Census Bureau county codes","","","","2","2","2","2","2","2","",""
"Code Set","namespace","census","US Census Bureau employment codes","4","4","4","","","","","","","",""
"Code Set","namespace","cjis","FBI Criminal Justice Information System (CJIS) codes","","","","","","","2","2","","",""
"Code Set","namespace","commodity","Standard Classification of Transported Goods (SCTG) Commodity Codes","","","","8","8","8","8","8","8","10","10"
"Code Set","namespace","core_misc","Non-authoritative codes","","","","22","22","22","","","","",""
"Code Set","namespace","dea","Drug Enforcement Administration (DEA) Controlled Substances codes","","2","2","6","6","6","6","6","6","6","6"
"Code Set","namespace","dod","Department of Defense (DoD) security level codes","2","","","","","","","","","",""
"Code Set","namespace","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","2","2","2","2","2","2","2","2","2","",""
"Code Set","namespace","dol","Standard Occupational Classification (SOC) occupation codes","","","","2","2","2","2","2","2","",""
"Code Set","namespace","edxl","Emergency Data Exchange Language","4","4","4","","","","","","","",""
"Code Set","namespace","edxl_rm","Emergency Data Exchange Language (EDXL) Resource Messaging codes","","","","4","4","4","4","4","4","4","4"
"Code Set","namespace","eo-12958","Presidential Executive Order 12958 security classification codes","2","","","","","","","","","",""
"Code Set","namespace","fbi","FBI NCIC, NIBRS, and N-DEx codes","","172","172","","","","","","","",""
"Code Set","namespace","fema","Federal Emergency Management Agency (FEMA) codes","","","","","","","","","","","20"
"Code Set","namespace","fips","Federal Information Processing System (FIPS) state and county codes","","","","","","","","","","6","6"
